Subject Id	Subject Flag	Agreed Hours
AHCBUS503	C	120
AHCBUS503A	C	120
AHCBUS504	C	120
AHCBUS504A	C	120
AHCBUS505A	C	140
AHCBUS506	C	150
AHCBUS506A	C	150
AHCBUS507	C	120
AHCBUS507A	C	120
AHCBUS508	C	140
AHCBUS508A	C	140
AHCBUS509	C	70
AHCBUS510	C	80
AHCBUS511	C	140
AHCBUS512	C	70
AHCBUS513	C	120
AHCBUS514	C	120
AHCBUS515	C	120
AHCBUS516	C	150
AHCBUS517	C	120
AHCBUS518	C	140
AHCBUS519	C	80
AHCBUS601	C	220
AHCBUS601A	C	220
AHCBUS602	C	250
AHCBUS602A	C	250
AHCBUS603	C	250
AHCBUS603A	C	250
AHCBUS604	C	250
AHCBUS604A	C	250
AHCBUS605	C	220
AHCBUS605A	C	220
AHCBUS606	C	200
AHCBUS606A	C	200
AHCBUS607	C	200
AHCBUS607A	C	200
AHCBUS608	C	200
AHCBUS608A	C	200
AHCBUS609	C	250
AHCBUS610	C	200
AHCBUS611	C	220
AHCBUS612	C	250
AHCBUS613	C	220
AHCBUS614	C	200
AHCBUS615	C	200
AHCCCF401	C	80
AHCCCF401A	C	80
AHCCCF402	C	60
AHCCCF402A	C	60
AHCCCF403	C	60
AHCCCF403A	C	60
AHCCCF404	C	60
AHCCCF404A	C	60
AHCCCF405	C	40
AHCCCF405A	C	40
AHCCCF406	C	60
AHCCCF406A	C	60
AHCCCF407	C	60
AHCCCF407A	C	60
AHCCCF408	C	60
AHCCCF408A	C	60
AHCCCF409	C	40
AHCCCF409A	C	40
AHCCCF410	C	80
AHCCCF410A	C	80
AHCCCF411	C	40
AHCCCF411A	C	40
AHCCCF412	C	30
AHCCCF412A	C	30
AHCCCF413	C	40
AHCCCF413A	C	40
AHCCCF414	C	40
AHCCCF414A	C	40
AHCCCF415	C	40
AHCCCF415A	C	40
AHCCCF416	C	40
AHCCCF416A	C	40
AHCCCF501	C	80
AHCCCF501A	C	80
AHCCCF502	C	150
AHCCCF502A	C	150
AHCCCF503	C	100
AHCCCF503A	C	100
AHCCCF504	C	100
AHCCCF504A	C	100
AHCCCF505	C	120
AHCCCF505A	C	120
AHCCCF506	C	100
AHCCCF506A	C	100
AHCCCF601	C	200
AHCCCF601A	C	200
AHCCFI501A	C	80
AHCCFI502A	C	70
AHCCFI503A	C	80
AHCCFI504A	C	70
AHCCFI505A	C	80
AHCCFI506A	C	130
AHCCFI507A	C	130
AHCCFI508A	C	140
AHCCFI509A	C	150
AHCCFI510A	C	120
AHCCFI511A	C	120
AHCCFP301	C	60
AHCCFP401	C	90
AHCCFP402	C	100
AHCCFP403	C	100
AHCCFP404	C	140
AHCCFP405	C	90
AHCCFP501	C	120
AHCCHM101	C	10
AHCCHM101A	C	10
AHCCHM201	C	30
AHCCHM201A	C	30
AHCCHM301	C	100
AHCCHM301A	C	100
AHCCHM302	C	60
AHCCHM302A	C	60
AHCCHM303	C	70
AHCCHM303A	C	70
AHCCHM304	C	50
AHCCHM304A	C	50
AHCCHM305	C	100
